time,Bx,By,Bz,Btotal
2021-07-01 15:29:37.7480,0.12,0.74,-11.93,11.95
2021-07-01 15:29:37.8460,0.12,0.74,-11.93,11.95
2021-07-01 15:29:37.9450,0.12,0.74,-11.93,11.95
2021-07-01 15:29:38.0450,0.12,0.74,-11.93,11.95
2021-07-01 15:29:38.1450,0.12,0.74,-11.93,11.95
2021-07-01 15:29:38.2470,0.12,0.74,-11.92,11.95
2021-07-01 15:29:38.3440,0.12,0.74,-11.93,11.95
2021-07-01 15:29:38.4430,0.12,0.74,-11.93,11.95
2021-07-01 15:29:38.5440,0.12,0.73,-11.93,11.95
2021-07-01 15:29:38.6430,0.12,0.74,-11.93,11.95
2021-07-01 15:29:38.7420,0.12,0.74,-11.93,11.95
2021-07-01 15:29:38.8420,0.12,0.73,-11.93,11.95
2021-07-01 15:29:38.9410,0.12,0.73,-11.93,11.95
2021-07-01 15:29:39.0410,0.12,0.73,-11.93,11.95
2021-07-01 15:29:39.1420,0.13,0.74,-11.99,12.01
2021-07-01 15:29:39.2420,0.14,0.75,-12.05,12.08
2021-07-01 15:29:39.3440,0.15,0.71,-11.59,11.61
2021-07-01 15:29:39.4410,0.12,0.6,-10.24,10.26
2021-07-01 15:29:39.5400,0.1,0.54,-9.37,9.38
2021-07-01 15:29:39.6400,0.09,0.49,-8.7,8.71
2021-07-01 15:29:39.7390,0.08,0.44,-8.05,8.06
2021-07-01 15:29:39.8390,0.07,0.39,-7.38,7.39
2021-07-01 15:29:39.9380,0.04,0.33,-6.59,6.6
2021-07-01 15:29:40.0380,0.03,0.28,-5.86,5.87
2021-07-01 15:29:40.1380,0.0,0.22,-4.98,4.98
2021-07-01 15:29:40.2370,-0.01,0.18,-4.36,4.36
2021-07-01 15:29:40.3370,-0.03,0.15,-3.91,3.91
2021-07-01 15:29:40.4360,-0.04,0.13,-3.47,3.47
2021-07-01 15:29:40.5360,-0.06,0.1,-3.06,3.06
2021-07-01 15:29:40.6350,-0.08,0.07,-2.65,2.66
2021-07-01 15:29:40.7350,-0.09,0.06,-2.37,2.37
2021-07-01 15:29:40.8350,-0.1,0.05,-2.19,2.19
2021-07-01 15:29:40.9340,-0.11,0.04,-2.07,2.08
2021-07-01 15:29:41.0330,-0.11,0.03,-1.92,1.92
2021-07-01 15:29:41.1330,-0.12,0.02,-1.73,1.73
2021-07-01 15:29:41.2330,-0.13,0.01,-1.55,1.55
2021-07-01 15:29:41.3320,-0.13,0.01,-1.46,1.47
2021-07-01 15:29:41.4320,-0.14,0.0,-1.4,1.41
2021-07-01 15:29:41.5310,-0.14,0.0,-1.32,1.32
2021-07-01 15:29:41.6310,-0.14,-0.01,-1.21,1.22
2021-07-01 15:29:41.7310,-0.15,-0.01,-1.12,1.13
2021-07-01 15:29:41.8310,-0.15,-0.01,-1.04,1.05
2021-07-01 15:29:41.9290,-0.15,-0.01,-1.01,1.02
2021-07-01 15:29:42.0310,-0.15,-0.02,-0.99,1.0
2021-07-01 15:29:42.1290,-0.16,-0.02,-0.94,0.95
2021-07-01 15:29:42.2280,-0.16,-0.02,-0.89,0.91
2021-07-01 15:29:42.3270,-0.16,-0.02,-0.87,0.88
2021-07-01 15:29:42.4270,-0.16,-0.02,-0.86,0.87
2021-07-01 15:29:42.5270,-0.16,-0.02,-0.84,0.86
2021-07-01 15:29:42.6260,-0.16,-0.02,-0.83,0.84
2021-07-01 15:29:42.7250,-0.16,-0.02,-0.82,0.84
2021-07-01 15:29:42.8250,-0.16,-0.02,-0.82,0.83
2021-07-01 15:29:42.9250,-0.16,-0.02,-0.8,0.82
2021-07-01 15:29:43.0230,-0.16,-0.02,-0.8,0.82
2021-07-01 15:29:43.1230,-0.16,-0.02,-0.8,0.81
2021-07-01 15:29:43.2230,-0.16,-0.02,-0.8,0.82
2021-07-01 15:29:43.3220,-0.16,-0.02,-0.8,0.82
2021-07-01 15:29:43.4220,-0.16,-0.02,-0.8,0.82
2021-07-01 15:29:43.5220,-0.16,-0.02,-0.8,0.81
2021-07-01 15:29:43.6210,-0.16,-0.02,-0.8,0.82
2021-07-01 15:29:43.7190,-0.16,-0.02,-0.8,0.82
2021-07-01 15:29:43.8200,-0.16,-0.02,-0.8,0.82
2021-07-01 15:29:43.9190,-0.16,-0.02,-0.8,0.82
2021-07-01 15:29:44.0190,-0.16,-0.02,-0.8,0.82
2021-07-01 15:29:44.1190,-0.16,-0.02,-0.8,0.82
2021-07-01 15:29:44.2180,-0.16,-0.02,-0.8,0.82
2021-07-01 15:29:44.3180,-0.16,-0.02,-0.8,0.82
