time,Bx,By,Bz,Btotal
2021-07-01 15:28:58.2210,-0.19,-0.04,-1.05,1.06
2021-07-01 15:28:58.3190,-0.19,-0.04,-1.05,1.07
2021-07-01 15:28:58.4180,-0.19,-0.04,-1.04,1.06
2021-07-01 15:28:58.5170,-0.19,-0.04,-1.05,1.07
2021-07-01 15:28:58.6170,-0.19,-0.04,-1.05,1.07
2021-07-01 15:28:58.7160,-0.19,-0.04,-1.05,1.07
2021-07-01 15:28:58.8160,-0.19,-0.04,-1.05,1.06
2021-07-01 15:28:58.9150,-0.19,-0.04,-1.05,1.06
2021-07-01 15:28:59.0140,-0.19,-0.04,-1.05,1.06
2021-07-01 15:28:59.1170,-0.19,-0.04,-1.04,1.06
2021-07-01 15:28:59.2140,-0.19,-0.04,-1.05,1.06
2021-07-01 15:28:59.3140,-0.19,-0.04,-1.05,1.07
2021-07-01 15:28:59.4130,-0.19,-0.04,-1.05,1.07
2021-07-01 15:28:59.5130,-0.19,-0.04,-1.05,1.07
2021-07-01 15:28:59.6120,-0.19,-0.04,-1.05,1.07
2021-07-01 15:28:59.7120,-0.19,-0.04,-1.05,1.07
2021-07-01 15:28:59.8120,-0.19,-0.04,-1.05,1.06
2021-07-01 15:28:59.9110,-0.19,-0.04,-1.05,1.06
2021-07-01 15:29:00.0100,-0.19,-0.04,-1.05,1.06
2021-07-01 15:29:00.1100,-0.19,-0.04,-1.05,1.06
2021-07-01 15:29:00.2090,-0.19,-0.04,-1.05,1.06
2021-07-01 15:29:00.3100,-0.19,-0.04,-1.0,1.02
2021-07-01 15:29:00.4100,-0.19,-0.04,-0.95,0.97
2021-07-01 15:29:00.5090,-0.19,-0.04,-0.92,0.94
2021-07-01 15:29:00.6090,-0.19,-0.04,-0.89,0.91
2021-07-01 15:29:00.7080,-0.19,-0.04,-0.86,0.89
2021-07-01 15:29:00.8070,-0.19,-0.04,-0.83,0.86
2021-07-01 15:29:00.9070,-0.19,-0.04,-0.8,0.82
2021-07-01 15:29:01.0070,-0.19,-0.05,-0.77,0.8
2021-07-01 15:29:01.1070,-0.19,-0.04,-0.75,0.78
2021-07-01 15:29:01.2060,-0.19,-0.05,-0.73,0.76
2021-07-01 15:29:01.3060,-0.19,-0.05,-0.71,0.74
2021-07-01 15:29:01.4050,-0.19,-0.05,-0.7,0.72
2021-07-01 15:29:01.5050,-0.19,-0.05,-0.68,0.7
2021-07-01 15:29:01.6040,-0.19,-0.05,-0.66,0.69
