time,Bx,By,Bz,Btotal
2021-07-01 15:28:17.1980,-0.29,0.05,-3.82,3.83
2021-07-01 15:28:17.2970,-0.29,0.04,-3.82,3.83
2021-07-01 15:28:17.3960,-0.29,0.04,-3.82,3.83
2021-07-01 15:28:17.4960,-0.29,0.04,-3.83,3.84
2021-07-01 15:28:17.5960,-0.29,0.04,-3.82,3.84
2021-07-01 15:28:17.6970,-0.29,0.04,-3.82,3.83
2021-07-01 15:28:17.7950,-0.29,0.04,-3.82,3.83
2021-07-01 15:28:17.8960,-0.29,0.04,-3.82,3.84
2021-07-01 15:28:17.9970,-0.29,0.05,-3.82,3.83
2021-07-01 15:28:18.0960,-0.29,0.04,-3.75,3.76
2021-07-01 15:28:18.1950,-0.28,0.03,-3.46,3.47
2021-07-01 15:28:18.2940,-0.25,0.02,-3.02,3.03
2021-07-01 15:28:18.3960,-0.23,0.01,-2.59,2.6
2021-07-01 15:28:18.4940,-0.22,0.0,-2.33,2.34
2021-07-01 15:28:18.5960,-0.2,-0.01,-1.99,2.0
2021-07-01 15:28:18.6910,-0.2,-0.01,-1.75,1.76
2021-07-01 15:28:18.7920,-0.19,-0.01,-1.61,1.62
2021-07-01 15:28:18.8910,-0.19,-0.02,-1.45,1.46
2021-07-01 15:28:18.9900,-0.19,-0.02,-1.35,1.36
2021-07-01 15:28:19.0920,-0.19,-0.02,-1.26,1.28
2021-07-01 15:28:19.1920,-0.19,-0.02,-1.17,1.19
2021-07-01 15:28:19.2890,-0.19,-0.02,-1.09,1.1
2021-07-01 15:28:19.3890,-0.18,-0.02,-1.03,1.05
2021-07-01 15:28:19.4880,-0.18,-0.02,-1.0,1.02
2021-07-01 15:28:19.5880,-0.18,-0.03,-0.96,0.97
2021-07-01 15:28:19.6870,-0.18,-0.03,-0.91,0.93
2021-07-01 15:28:19.7900,-0.18,-0.03,-0.87,0.88
2021-07-01 15:28:19.8860,-0.18,-0.03,-0.84,0.86
2021-07-01 15:28:19.9860,-0.18,-0.03,-0.81,0.83
2021-07-01 15:28:20.0850,-0.18,-0.03,-0.78,0.8
2021-07-01 15:28:20.1850,-0.18,-0.03,-0.75,0.77
2021-07-01 15:28:20.2850,-0.18,-0.03,-0.73,0.75
2021-07-01 15:28:20.3840,-0.18,-0.03,-0.72,0.74
2021-07-01 15:28:20.4850,-0.18,-0.03,-0.7,0.73
2021-07-01 15:28:20.5830,-0.18,-0.03,-0.7,0.72
2021-07-01 15:28:20.6820,-0.18,-0.03,-0.7,0.72
2021-07-01 15:28:20.7830,-0.17,-0.03,-0.69,0.72
2021-07-01 15:28:20.8820,-0.18,-0.03,-0.69,0.71
2021-07-01 15:28:20.9810,-0.18,-0.03,-0.69,0.71
2021-07-01 15:28:21.0810,-0.18,-0.03,-0.69,0.71
2021-07-01 15:28:21.1800,-0.18,-0.03,-0.69,0.71
2021-07-01 15:28:21.2800,-0.18,-0.04,-0.69,0.71
2021-07-01 15:28:21.3810,-0.17,-0.03,-0.68,0.71
